STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CZE,Czechia,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,5467.49072265625,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DNK,Denmark,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,74094.609375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DOM,Dominican Republic,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,9517.0205078125,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECU,Ecuador,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,11987.91796875,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EGY,"Egypt, Arab Rep.",WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,4344.93505859375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLV,El Salvador,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,8016.14892578125,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GNQ,Equatorial Guinea,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,2316.245849609375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EST,Estonia,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SWZ,Eswatini,WB_ASPD_LPXR,"Labor productivity level (GDP per employment, in 2010 constant dollars)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_WKR_K_2010,"US dollars per worker, 2010 constant prices",_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,7773.15234375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
