cntry.code,a1960,a1961,a1962,a1963,a1964,a1965,a1966,a1967,a1968,a1969,a1970,a1971,a1972,a1973,a1974,a1975,a1976,a1977,a1978,a1979,a1980,a1981,a1982,a1983,a1984,a1985,a1986,a1987,a1988,a1989,a1990,a1991,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.232530137,6.350053159,7.326728676,9.330842131,12.22517882,12.27320684,8.162537812,10.59313041,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,16.62787496,19.35920648,18.30398139,23.41425894,22.47480219,22.52037804,21.99851845,19.98391697,23.41769902,23.21727387,26.90602092,25.76364696,24.59943735,26.33699096,23.09605607,17.15716658,18.55622738,24.77692755,25.95735121,21.12904382,19.32363512,17.54056073,24.98357897,17.69925284,16.04960159,15.68547411,17.31592213,17.93671887,17.08483327,16.97710979,16.86392607,12.85190994,13.88169253,15.84440053,13.03965646,16.34863662,12.07310155,11.05881862,9.178120353,13.05352598,13.10383517,15.37495814,15.06383623,13.98348629,10.96015851,14.13776464,15.0631938,10.77892763,10.64862187
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.17209138,29.65268443,30.98218205,30.11649863,27.66918908,29.73494481,28.32208037,28.64688572,28.59989566,26.68743447,25.23296291,25.72606176,26.51858528,26.06261027,27.5389663,26.77020424,22.87244524,21.73832748,21.9464159,23.52734748,23.66498759,24.82364805,25.65927545,24.76189022,25.72767405,25.58134096,25.75163279,25.85687037,28.52565272,27.28383518,30.92837624,27.77619955
DEU,,,,,,,,,,,,26.49103352,25.33298508,25.05706659,23.90408999,20.40339956,20.91833904,20.62822192,21.52272028,20.97662771,19.76197165,18.399427,18.70849437,19.2737211,19.88907313,20.68160554,22.18195819,21.35174797,22.52089282,23.5216723,24.76364297,24.37042568,23.95756254,22.86324498,23.00875242,23.42399167,22.98597748,23.07079371,23.52386684,22.54980666,22.39619756,22.56424663,22.10152797,21.06842632,23.53634078,23.36940362,25.7170401,27.46552486,26.46632381,23.8128786,25.25815982,27.56166649,26.67258842,26.520764,27.39458457,27.58112506,28.6637497,28.60386073,29.93919401,29.20833115,27.98384149,29.37425853,27.41704302,27.56776775,26.99387129
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.15665768,24.32462359,25.51386092,20.93569225,16.83755333,17.4988354,20.53967118,11.3374887,9.188578611,7.822577442,15.17501114,9.366759257
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,21.27466122,21.14363119,21.8300122,22.16081991,20.46711891,18.48178876,15.8999335,15.77376646,17.42044724,18.98530516,19.09516257,20.39223716,21.19505473,21.13379672,21.4660925,22.5832075,21.58396159,22.01233903,21.96842811,21.66156717,22.79971279,22.89218935,23.79711661,23.41510427,24.24592737,24.89423097,25.85184867,25.16880261,25.15817531,25.75338719,26.22319085,27.45732306,26.54086606,26.8908923,22.62782169,24.22152815,25.33581667,25.28513455,26.72297861,28.53694272,28.49903011,28.76650435,29.27942764,28.83727248,29.33080364,29.98819132,32.27773912,36.35263467,32.6597046,34.66670326
